Wall time,Step,Value
1575232168.647812,1,3.9689395427703857
1575232192.0963,2,3.8352298736572266
1575232216.72621,3,4.371893882751465
1575232240.444601,4,4.073904991149902
1575232264.728444,5,4.33310079574585
1575232286.412628,6,4.080183506011963
1575232310.335811,7,3.972975492477417
1575232336.855519,8,4.222530364990234
1575232367.872394,9,3.1133172512054443
1575232388.294566,10,4.6207451820373535
1575232416.543226,11,4.276852607727051
1575232441.094916,12,4.194134712219238
1575232465.074507,13,4.185888290405273
1575232486.202922,14,4.413301944732666
1575232509.589977,15,4.253630638122559
1575232532.130077,16,4.5393853187561035
1575232557.411598,17,4.568813323974609
1575232579.571136,18,4.085005283355713
1575232603.924148,19,3.823843479156494
1575232608.328812,20,-1.0
1575232634.469811,21,4.27534818649292
1575232660.163749,22,4.4706854820251465
1575232684.628541,23,4.08091926574707
1575232709.475335,24,4.17341423034668
1575232733.096779,25,3.8248445987701416
1575232758.067726,26,4.250670433044434
1575232786.162252,27,4.362946510314941
1575232808.739617,28,4.159124374389648
1575232835.346028,29,4.162222862243652
1575232859.463336,30,4.3127570152282715
1575232882.461457,31,4.104400634765625
1575232904.241496,32,3.711456775665283
1575232930.100478,33,4.245908260345459
1575232954.498028,34,4.420309543609619
1575232979.384841,35,4.446987628936768
1575233003.338206,36,4.513587474822998
1575233028.913228,37,4.095866680145264
1575233052.431474,38,4.367219924926758
1575233076.112691,39,4.130594730377197
1575233100.813435,40,4.407609939575195
1575233125.090706,41,4.367810249328613
1575233157.542897,42,3.558600902557373
1575233183.309891,43,3.991349220275879
1575233206.219352,44,4.280933856964111
1575233238.576826,45,3.82110333442688
1575233263.423955,46,4.524773120880127
1575233288.89435,47,4.023935794830322
1575233312.554167,48,4.1012701988220215
1575233338.173975,49,4.358355522155762
1575233364.375271,50,4.0921430587768555
1575233393.272843,51,4.150431156158447
1575233418.200937,52,4.443723678588867
1575233445.617018,53,4.2230634689331055
1575233467.379921,54,4.270986557006836
1575233490.856741,55,4.088519096374512
1575233512.935947,56,3.894550323486328
1575233539.615095,57,4.298875331878662
1575233567.996846,58,3.8194363117218018
1575233592.077142,59,4.318780899047852
1575233615.059061,60,3.97287654876709
1575233637.296111,61,4.098207950592041
1575233658.448494,62,4.243796348571777
1575233681.669466,63,4.500382423400879
1575233704.422688,64,4.314330101013184
1575233726.696154,65,4.604615688323975
1575233751.001735,66,4.5048112869262695
1575233776.741116,67,4.392003059387207
1575233800.211549,68,3.6526825428009033
1575233827.308677,69,4.264710426330566
1575233855.875453,70,3.706824779510498
1575233887.24199,71,3.3646087646484375
1575233911.973973,72,4.126311302185059
